length_of_stay,hotel_name,how_many_trips,normalized_hotel_selection_cost,normalized_hotel_selection_bar,normalized_hotel_selection_distance_to_parks,normalized_hotel_selection_in_room_dining,normalized_hotel_selection_food_court,normalized_hotel_selection_sit_down_dining,normalized_hotel_selection_fine_dining,normalized_hotel_selection_parks_shuttle,normalized_hotel_selection_airport_shuttle,normalized_hotel_selection_in_room_kitchen,normalized_hotel_selection_room_size,normalized_hotel_selection_multiple_bedroom_suites,normalized_hotel_selection_pool,normalized_hotel_selection_theme,normalized_hotel_selection_kids_activities,normalized_hotel_selection_location_on_property
7, Disneys Wilderness Lodge,22,-0.008318265,-0.564769749,0.142329726,-0.378088489,0.188584832,0.567065547,0.318565401,-0.12828479,0.717454663,-1.09644485,-0.190606061,-0.144778044,1.650185048,0.631570928,0.329160962,0.218546791
5, Disneys Wilderness Lodge,10,0.991681735,-0.564769749,1.142329726,1.621911511,1.188584832,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,0.809393939,-1.144778044,1.650185048,1.631570928,0.329160962,1.218546791
6, Disneys Saratoga Springs Resort & Spa,20,-0.008318265,-0.564769749,0.142329726,-0.378088489,-0.811415168,-0.432934453,0.318565401,0.87171521,1.717454663,2.90355515,1.809393939,2.855221956,-1.349814952,-2.368429072,1.329160962,1.218546791
6, Disneys Saratoga Springs Resort & Spa,20,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,-1.432934453,-0.681434599,0.87171521,1.717454663,1.90355515,1.809393939,2.855221956,0.650185048,0.631570928,2.329160962,1.218546791
5, Disneys Saratoga Springs Resort & Spa,5,-1.008318265,-0.564769749,1.142329726,-0.378088489,1.188584832,0.567065547,-0.681434599,-3.12828479,-2.282545337,2.90355515,1.809393939,2.855221956,1.650185048,-0.368429072,1.329160962,0.218546791
7, Disneys Saratoga Springs Resort & Spa,30,-0.008318265,-0.564769749,1.142329726,1.621911511,0.188584832,0.567065547,1.318565401,-0.12828479,0.717454663,1.90355515,0.809393939,2.855221956,-0.349814952,-0.368429072,0.329160962,0.218546791
2, Disneys Saratoga Springs Resort & Spa,4,-1.008318265,1.435230251,0.142329726,0.621911511,-1.811415168,0.567065547,1.318565401,0.87171521,1.717454663,2.90355515,1.809393939,1.855221956,0.650185048,0.631570928,1.329160962,1.218546791
7, Disneys Saratoga Springs Resort & Spa,20,-0.008318265,2.435230251,-0.857670274,-0.378088489,-1.811415168,-1.432934453,-0.681434599,-0.12828479,-2.282545337,2.90355515,1.809393939,-1.144778044,1.650185048,-0.368429072,-0.670839038,1.218546791
7, Disneys Saratoga Springs Resort & Spa,15,0.991681735,0.435230251,1.142329726,0.621911511,0.188584832,0.567065547,-0.681434599,0.87171521,1.717454663,2.90355515,-0.190606061,0.855221956,-0.349814952,0.631570928,-0.670839038,1.218546791
4, Disneys Port Orleans Resort - Riverside,6,0.991681735,-0.564769749,1.142329726,-0.378088489,0.188584832,1.567065547,1.318565401,0.87171521,1.717454663,-1.09644485,-0.190606061,-1.144778044,-0.349814952,1.631570928,-0.670839038,1.218546791
4, Disneys Port Orleans Resort - Riverside,12,-2.008318265,-0.564769749,0.142329726,1.621911511,0.188584832,0.567065547,-0.681434599,-0.12828479,-2.282545337,-1.09644485,-0.190606061,-1.144778044,1.650185048,1.631570928,3.329160962,-0.781453209
7, Disneys Port Orleans Resort - Riverside,3,0.991681735,-0.564769749,-0.857670274,-0.378088489,0.188584832,-1.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-2.190606061,-1.144778044,-0.349814952,-0.368429072,1.329160962,-0.781453209
5, Disneys Port Orleans Resort - Riverside,7,-1.008318265,2.435230251,0.142329726,2.621911511,-0.811415168,0.567065547,-0.681434599,-0.12828479,1.717454663,-1.09644485,-0.190606061,-1.144778044,1.650185048,0.631570928,0.329160962,-0.781453209
5, Disneys Port Orleans Resort - Riverside,17,0.991681735,-0.564769749,1.142329726,-0.378088489,2.188584832,-1.432934453,-0.681434599,0.87171521,1.717454663,-1.09644485,-1.190606061,-1.144778044,1.650185048,1.631570928,-0.670839038,0.218546791
